"txid","refid","time","type","aclass","asset","amount","fee","balance"
"LPZ5PF-VSXWG-DM55BP","TKVKII-X4O5O-IBGEYC","2017-12-27 20:46:15","trade","currency","XXBT",0.0083956000,0.0000218200,0.0321256500
"LDLV6Q-G2ODI-RTX6CG","TG74FL-CC4AX-ZF6RO5","2017-12-27 20:46:15","trade","currency","XMLN",-2.0690964000,0.0000000000,16.0836580500
"LD54OY-JFXYV-53LFLJ","TG74FL-CC4AX-ZF6RO5","2017-12-27 20:46:15","trade","currency","XXBT",0.0170059000,0.0000442200,0.0490873300
"L7VCBR-SR7J3-RV75LH","TUZDGV-Y4JAU-DY5677","2017-12-27 20:46:15","trade","currency","XMLN",-9.0000000000,0.0000000000,7.0836580500
"LPKUWV-AK3M6-L4KQ34","TUZDGV-Y4JAU-DY5677","2017-12-27 20:46:15","trade","currency","XXBT",0.0739620000,0.0001923000,0.1228570300
"LF7B74-ZJPFO-EKNRXE","TYK65O-HVMOC-N54BOY","2017-12-27 20:46:15","trade","currency","XMLN",-1.5000000000,0.0000000000,5.5836580500
"LEQSIQ-UVHWT-VSLDAC","TYK65O-HVMOC-N54BOY","2017-12-27 20:46:15","trade","currency","XXBT",0.0123225000,0.0000320400,0.1351474900
"LL7X5N-UQTO6-ACZMDV","TKK2WH-WRQRO-G6QMJE","2017-12-27 20:46:21","trade","currency","XMLN",-1.2345635200,0.0000000000,4.3490945300
"LTJ64Q-FAY62-AWEBO6","TKK2WH-WRQRO-G6QMJE","2017-12-27 20:46:21","trade","currency","XXBT",0.0101246600,0.0000263200,0.1452458300
"LRYGQA-VHSDN-AM63V3","T5XARV-IZ34E-MUM4MV","2017-12-27 20:46:22","trade","currency","XMLN",-0.2453900000,0.0000000000,4.1037045300
"LP22PA-272M4-2CJ2HK","T5XARV-IZ34E-MUM4MV","2017-12-27 20:46:22","trade","currency","XXBT",0.0019999300,0.0000052000,0.1472405600
"LIJ7W2-VKUMA-MF6MQB","TSHRCL-OYABG-OYZQPY","2017-12-27 20:46:22","trade","currency","XMLN",-1.2800000000,0.0000000000,2.8237045300
"LELKM4-QVHPV-PYDEX3","TSHRCL-OYABG-OYZQPY","2017-12-27 20:46:22","trade","currency","XXBT",0.0103820800,0.0000269900,0.1575956500
"LMRU6H-7KWT3-C7DKFT","TYQ5KL-RZX2G-SH7OFS","2017-12-27 20:46:22","trade","currency","XMLN",-1.8497127800,0.0000000000,0.9739917500
"L73J7E-K7OCG-P4CFS4","TYQ5KL-RZX2G-SH7OFS","2017-12-27 20:46:22","trade","currency","XXBT",0.0149105300,0.0000387700,0.1724674100
"","QGBT7PA-52A7SS-QZ3IGT","2017-12-27 20:54:11","deposit","currency","XXBT",0.9351353200,0.0000000000,""
"LQB5WH-GFQOB-5DPJWO","QGBT7PA-52A7SS-QZ3IGT","2017-12-27 21:57:15","deposit","currency","XXBT",0.9351353200,0.0000000000,1.1076027300
"LOQBCR-HCRFZ-SK5QHI","TJWWAB-45RPQ-J4SCLR","2017-12-27 22:13:03","trade","currency","XXBT",-0.0493600000,0.0000000000,1.0582427300
"LUD4BV-S75NR-CMYO6S","TJWWAB-45RPQ-J4SCLR","2017-12-27 22:13:03","trade","currency","ZEUR",631.8179,1.6427,22652.0963
"LVLYQF-BOL7Y-ZTHW72","TI6VU6-R7J5O-OOKLWC","2017-12-27 22:13:03","trade","currency","XXBT",-0.0770000000,0.0000000000,0.9812427300
"LTLEBM-W3AAT-X377Q2","TI6VU6-R7J5O-OOKLWC","2017-12-27 22:13:03","trade","currency","ZEUR",985.6077,2.5626,23635.1414
"LAGIYI-ZDPMD-A65DQL","TVTJKR-6FXQT-E7HBZN","2017-12-27 22:13:03","trade","currency","XXBT",-0.0251800000,0.0000000000,0.9560627300
"LPHO25-XBMHR-XQWLWI","TVTJKR-6FXQT-E7HBZN","2017-12-27 22:13:03","trade","currency","ZEUR",322.3040,0.8380,23956.6074
"LAP7NA-WOGI5-Q33OVG","T3MY5K-CGKWV-UUIYDX","2017-12-27 22:13:03","trade","currency","XXBT",-0.3000000000,0.0000000000,0.6560627300
"L3OEY3-JSWAX-A7HUEV","T3MY5K-CGKWV-UUIYDX","2017-12-27 22:13:03","trade","currency","ZEUR",3837.0300,9.9763,27783.6611
"LIFGTM-XFROD-HA5IGN","TEFIB4-XS5SS-O6SYWG","2017-12-27 22:13:03","trade","currency","XXBT",-0.4000000000,0.0000000000,0.2560627300
"LPHTBA-S6P5X-WTFAYZ","TEFIB4-XS5SS-O6SYWG","2017-12-27 22:13:03","trade","currency","ZEUR",5116.0000,13.3016,32886.3595
"LSTAX2-A4EPM-3E6K6T","TV7L5Y-ZGD3R-VDJKMO","2017-12-27 22:13:04","trade","currency","XXBT",-0.0243692400,0.0000000000,0.2316934900
"LONK7K-XV67I-OCHUZX","TV7L5Y-ZGD3R-VDJKMO","2017-12-27 22:13:04","trade","currency","ZEUR",311.4560,0.8098,33197.0057
"LCCTNQ-GHNMF-YIBP5E","TGTFHL-ZOTK3-4CO5EQ","2017-12-27 22:13:04","trade","currency","XXBT",-0.0240907600,0.0000000000,0.2076027300
"L3MMHD-3AA5C-MFOJD7","TGTFHL-ZOTK3-4CO5EQ","2017-12-27 22:13:04","trade","currency","ZEUR",307.8799,0.8005,33504.0851
"LXTD3N-4D2FJ-EEH7FW","ACC6DVV-TUUKP4-LGWBX3","2017-12-28 01:32:14","withdrawal","currency","ZEUR",-11928.9100,0.0900,21575.0851
"","ACCQK7W-VCGS7K-LSRYU6","2018-01-01 14:43:22","withdrawal","currency","ZEUR",-9899.9100,0.0900,""
"","AC3JPKM-VKIEOX-ATZ3LJ","2018-01-01 14:48:48","withdrawal","currency","ZEUR",-5940.0000,60.0000,""
"LYMNYK-QI4MJ-KS56F5","ACCQK7W-VCGS7K-LSRYU6","2018-01-03 03:04:16","withdrawal","currency","ZEUR",-9899.9100,0.0900,11675.0851
"LOR5M4-JIUPA-IIB3DQ","AC3JPKM-VKIEOX-ATZ3LJ","2018-01-05 07:55:13","withdrawal","currency","ZEUR",-5940.0000,60.0000,5675.0851
"LUJ6NS-MG5MM-4WUDOO","TJ2PNU-HNZ3H-L5MDRT","2018-01-05 10:31:04","trade","currency","XETH",-0.8220000000,0.0000000000,0.0008306900
"LXXGLT-2W4EL-AOSFSN","TJ2PNU-HNZ3H-L5MDRT","2018-01-05 10:31:04","trade","currency","ZEUR",678.1336,1.7632,6351.4555
"","ACCUNGW-WUZQ5R-VSUW2S","2018-01-07 16:32:20","withdrawal","currency","ZEUR",-5999.9100,0.0900,""
"LSJI7T-AC5CG-KIK4PQ","ACCUNGW-WUZQ5R-VSUW2S","2018-01-09 05:10:29","withdrawal","currency","ZEUR",-5999.9100,0.0900,351.4555
"","QC5NWIE-SXWNP7-JWOBQK","2018-01-12 00:49:27","deposit","currency","ZEUR",5859.1500,10.0000,""
"LMEBVL-PRYOE-3C5FI7","QC5NWIE-SXWNP7-JWOBQK","2018-01-14 04:08:56","deposit","currency","ZEUR",5859.1500,10.0000,6200.6055
