Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed
5110d17c-2206-4827-b6e1-0186d81abf0f,BTC-GOLOS,12/21/2017 4:11:22 AM,LIMIT_SELL,0.00001445,8059.38769762,0.00000000,0.00029114,0.11645815,0.00001445,False,,0.00000000,False,12/21/2017 4:11:22 AM
f02d1c28-4cf8-4eb2-ad22-b938d36961b3,BTC-PTOY,12/21/2017 4:13:00 AM,LIMIT_SELL,0.00003200,2014.93546882,0.00000000,0.00016119,0.06447793,0.00003200,False,,0.00000000,False,12/21/2017 4:14:39 AM
d9b0d90d-a4dc-4bbb-96e5-9f7fd18c302e,BTC-TRIG,12/21/2017 5:54:27 AM,LIMIT_SELL,0.00009600,11418.99202845,660.48075971,0.00258197,1.03281703,0.00009045,,,,,12/21/2017 6:27:50 AM
b24bdc78-0454-4242-9b79-040cea2f40a2,BTC-TRIG,12/21/2017 6:28:15 AM,LIMIT_SELL,0.00009566,660.48075971,0.00000000,0.00015794,0.06318158,0.00009566,,,,,12/21/2017 6:28:50 AM
863e8926-4445-41ae-8ec8-b386e218dabc,BTC-WAVES,12/21/2017 6:52:18 AM,LIMIT_BUY,0.00092009,1085.00000000,0.00000000,0.00249573,0.99829763,0.00092009,False,,0.00000000,False,12/21/2017 6:55:31 AM
1e9b50bc-5c5b-4c9e-bbcd-fe0d924dea0c,BTC-STRAT,12/21/2017 8:40:58 AM,LIMIT_BUY,0.00074005,1347.00000000,1275.13096832,0.00013296,0.05318667,0.00074005,False,,0.00000000,False,12/21/2017 8:44:56 AM
b207c925-5903-4389-8fa5-a3bd6d531d7a,BTC-STRAT,12/21/2017 8:53:25 AM,LIMIT_BUY,0.00076750,1039.73941368,0.00000000,0.00199498,0.79799998,0.00076750,False,,0.00000000,False,12/21/2017 8:54:07 AM
28bae7bb-49e3-4941-b58d-76a457889ab4,BTC-WAVES,12/23/2017 4:48:14 PM,LIMIT_SELL,0.00099686,1085.00000000,0.00000000,0.00270394,1.08159306,0.00099686,False,,0.00000000,False,12/23/2017 4:49:02 PM
775829c1-e85e-461a-8f56-895e6b71d01f,BTC-STRAT,12/26/2017 6:17:15 AM,LIMIT_SELL,0.00098009,1111.60844536,0.00000000,0.00272361,1.08947624,0.00098009,False,,0.00000000,False,12/26/2017 6:17:45 AM
0a8d92d9-35c2-4193-838d-372eb513c97c,BTC-NEO,12/30/2017 8:57:20 AM,LIMIT_BUY,0.00510205,3.59821235,0.00000000,0.00004589,0.01835822,0.00510204,False,,0.00000000,True,12/30/2017 8:57:20 AM
273a98c6-c54b-41f9-8a15-c312d19032e0,BTC-NEO,12/30/2017 8:57:27 AM,LIMIT_BUY,0.00510204,30.82031668,0.00000000,0.00039310,0.15724648,0.00510204,False,,0.00000000,True,12/30/2017 8:57:27 AM
58935c87-6ff8-4382-afae-3efd1645fb30,BTC-NEO,12/30/2017 8:57:38 AM,LIMIT_BUY,0.00511103,8.78154734,5.86924388,0.00003720,0.01488486,0.00511103,False,,0.00000000,True,12/30/2017 8:57:38 AM
f523a799-cb0b-41d5-ac28-e93ad84e9fcb,BTC-NEO,12/30/2017 8:58:09 AM,LIMIT_BUY,0.00510204,82.75273326,0.00000000,0.00105551,0.42220775,0.00510204,False,,0.00000000,False,12/30/2017 8:58:38 AM
