txid,refid,time,type,aclass,asset,amount,fee,balance
LTJ64Q-FAY62-AWEBO6,TKK2WH-WRQRO-G6QMJE,2017-12-27 20:46:21,trade,currency,XXBT,0.01012466,2.632E-05,0.14524583
LRYGQA-VHSDN-AM63V3,T5XARV-IZ34E-MUM4MV,2017-12-27 20:46:22,trade,currency,XMLN,-0.24539,0,4.10370453
LP22PA-272M4-2CJ2HK,T5XARV-IZ34E-MUM4MV,2017-12-27 20:46:22,trade,currency,XXBT,0.00199993,5.2E-06,0.14724056
LIJ7W2-VKUMA-MF6MQB,TSHRCL-OYABG-OYZQPY,2017-12-27 20:46:22,trade,currency,XMLN,-1.28,0,2.82370453
LELKM4-QVHPV-PYDEX3,TSHRCL-OYABG-OYZQPY,2017-12-27 20:46:22,trade,currency,XXBT,0.01038208,2.699E-05,0.15759565
LMRU6H-7KWT3-C7DKFT,TYQ5KL-RZX2G-SH7OFS,2017-12-27 20:46:22,trade,currency,XMLN,-1.84971278,0,0.97399175
L73J7E-K7OCG-P4CFS4,TYQ5KL-RZX2G-SH7OFS,2017-12-27 20:46:22,trade,currency,XXBT,0.01491053,3.877E-05,0.17246741
LOQBCR-HCRFZ-SK5QHI,TJWWAB-45RPQ-J4SCLR,2017-12-27 22:13:03,trade,currency,XXBT,-0.04936,0,1.05824273
LUD4BV-S75NR-CMYO6S,TJWWAB-45RPQ-J4SCLR,2017-12-27 22:13:03,trade,currency,ZEUR,631.8179,1.6427,22652.0963
LVLYQF-BOL7Y-ZTHW72,TI6VU6-R7J5O-OOKLWC,2017-12-27 22:13:03,trade,currency,XXBT,-0.077,0,0.98124273
LTLEBM-W3AAT-X377Q2,TI6VU6-R7J5O-OOKLWC,2017-12-27 22:13:03,trade,currency,ZEUR,985.6077,2.5626,23635.1414
LAGIYI-ZDPMD-A65DQL,TVTJKR-6FXQT-E7HBZN,2017-12-27 22:13:03,trade,currency,XXBT,-0.02518,0,0.95606273
LPHO25-XBMHR-XQWLWI,TVTJKR-6FXQT-E7HBZN,2017-12-27 22:13:03,trade,currency,ZEUR,322.304,0.838,23956.6074
LAP7NA-WOGI5-Q33OVG,T3MY5K-CGKWV-UUIYDX,2017-12-27 22:13:03,trade,currency,XXBT,-0.3,0,0.65606273
L3OEY3-JSWAX-A7HUEV,T3MY5K-CGKWV-UUIYDX,2017-12-27 22:13:03,trade,currency,ZEUR,3837.03,9.9763,27783.6611
LIFGTM-XFROD-HA5IGN,TEFIB4-XS5SS-O6SYWG,2017-12-27 22:13:03,trade,currency,XXBT,-0.4,0,0.25606273
LPHTBA-S6P5X-WTFAYZ,TEFIB4-XS5SS-O6SYWG,2017-12-27 22:13:03,trade,currency,ZEUR,5116,13.3016,32886.3595
LSTAX2-A4EPM-3E6K6T,TV7L5Y-ZGD3R-VDJKMO,2017-12-27 22:13:04,trade,currency,XXBT,-0.02436924,0,0.23169349
LONK7K-XV67I-OCHUZX,TV7L5Y-ZGD3R-VDJKMO,2017-12-27 22:13:04,trade,currency,ZEUR,311.456,0.8098,33197.0057
LCCTNQ-GHNMF-YIBP5E,TGTFHL-ZOTK3-4CO5EQ,2017-12-27 22:13:04,trade,currency,XXBT,-0.02409076,0,0.20760273
L3MMHD-3AA5C-MFOJD7,TGTFHL-ZOTK3-4CO5EQ,2017-12-27 22:13:04,trade,currency,ZEUR,307.8799,0.8005,33504.0851
LUJ6NS-MG5MM-4WUDOO,TJ2PNU-HNZ3H-L5MDRT,2018-01-05 10:31:04,trade,currency,XETH,-0.822,0,0.00083069
LXXGLT-2W4EL-AOSFSN,TJ2PNU-HNZ3H-L5MDRT,2018-01-05 10:31:04,trade,currency,ZEUR,678.1336,1.7632,6351.4555
LSW2KM-IUOEF-OR7CI5,TJWE6V-3QABP-K6ZEAT,2018-01-25 17:06:45,trade,currency,ZEUR,-5004.2748,0,1196.3307
LDUNL7-F7PVZ-BFBAC3,TJWE6V-3QABP-K6ZEAT,2018-01-25 17:06:45,trade,currency,XXMR,20,0,20
LDVOST-KPLUE-SZ67NQ,TJR5PI-RJUVP-G6ZNL5,2018-01-25 19:21:44,trade,currency,ZEUR,-1121.8077,0,74.523
LXHQP2-5NJHS-KZD6CR,TJR5PI-RJUVP-G6ZNL5,2018-01-25 19:21:44,trade,currency,XXMR,4.4,0,24.4
