transactionId,transactionHash,date,market,makerOrTaker,buyOrSell,tokenAmount,etherAmount,usdValue,fee,gasFee,feesPaidIn
5582728,0x2b4f1d072325683c61b533a4ada66e57d3576994a39b562d249ca393c62987bf,2020-06-18 03:22:40,AUC/ETH,maker,sell,5555.55555556,1,233.04,0.001,N/A,ETH
5582725,0x6a07e6290596e26cd2d60cf76b81a6e600835cef2227ae2bae318c1a04faa11f,2020-06-18 03:19:14,AUC/ETH,maker,sell,4709.69201917,0.84774456,197.51,0.000847744563450001,N/A,ETH
5581026,0x78f7ba48d06a1183e7faffecc1823e1d2902487fa4287cf4a0b1b1d49c4a797c,2020-06-17 18:57:27,AUC/ETH,maker,sell,9896.80590923,1.53400492,354.63,0.001534004915930772,N/A,ETH
5579485,0xcfae33bc7b0cac92a59cc6938659881451684674e5063601b67fdd7aafdf3f7d,2020-06-17 11:36:29,AUC/ETH,maker,sell,103.19409077,0.01599508,3.74,0.000015995084069228,N/A,ETH
4502114,0xe167a28cec22cd6cb430a2c6ab29f8f2b6733584ad63303d17ccf98f9e9d0fe6,2019-08-27 20:23:17,AUC/ETH,maker,buy,20440.61857219,0.38837175,72.71,20.44061857219113547,N/A,AUC
4502111,0x52e098a867457fa0b870a57ae08964184c40aa8003fe8b7b13c5a16d66cc53a2,2019-08-27 20:23:07,AUC/ETH,maker,buy,33596.22353307,0.63832825,119.52,33.596223533072022425,N/A,AUC
4057522,0xf933aabdbbc3887dc46a1f71cc849305594977aa20320545be31534969a22cd9,2019-06-20 23:37:52,AUC/ETH,maker,buy,59214.28571429,1.658,453.27,59.214285714285714286,N/A,AUC
3975199,0x96b86e5e685ce17d22e8826885be9fbb1fc5ca5a27416d700ab05b9fa753969d,2019-06-11 10:30:57,AUC/ETH,maker,buy,14584.31797215,0.48128249,118.15,14.584317972149713583,N/A,AUC
3968298,0x2983721ba1fd4ac51fd32fce514b5bdb91f614575ea6a95070481662c441c15d,2019-06-10 14:59:19,AUC/ETH,maker,buy,25779.31839149,0.85071751,206.68,25.779318391486650053,N/A,AUC
3741513,0x47a0d391823895137c0b93f0836916469a65d6bc607d9be1c0677922e3c234cc,2019-05-07 17:14:02,AUC/ETH,maker,buy,51153.56338028,3.631903,613.63,51.153563380281690141,N/A,AUC
